,ranking,title,artist,songwriters,producers,label
23,24,Cupid,Fifty Fifty,"AHIN, A.von Mentzer, KEENA, L.Udin, M.Fellander-Tsai, SIAHN","A.von Mentzer, L.Udin, M.Fellander-Tsai",Interpark/ATTRAKT/Warner Music Korea/Warner
24,25,Rock And A Hard Place,Bailey Zimmerman,"H.Warren, J.Hackworth, J.Harvey",A.R.Shawn,Elektra/Warner Music Nashville/3EE/WEA
25,26,Eyes Closed,Ed Sheeran,"E.C.Sheeran, F.J.P.Gibson, Max Martin, Shellback","Fred again.., Max Martin, Shellback, A.Dessner",Atlantic
26,27,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,"Mura Masa, PinkPantheress, I.Gaston","Mura Masa, PinkPantheress",PinkPantheress/Parlophone/Elektra/3EE
27,28,Next Thing You Know,Jordan Davis,"G.James, J.Osborne, C.McGill, J.Davis",P.DiGiovanni,MCA Nashville
28,29,Put It On Da Floor Again,Latto Featuring Cardi B,"A.M.Stephens, Go Grizzly, J.Rivera III, D.L.Clemons, R.Hammers, J.Norris III, R.Sims, B.Thompson-Smith, C.Walker, Born Immaculate, Cardi B","Go Grizzly, Squat Beats, Pooh Beatz",StreamCut/RCA
29,30,Thought You Should Know,Morgan Wallen,"M.C.Wallen, N.Galyon, M.Lambert",J.Moi,Big Loud/Mercury/Republic
30,31,I'm Good (Blue),David Guetta & Bebe Rexha,"B.Rexha, P.D.Guetta, G.Randone, KAMILLE, M.Gabutti, M.Lobina, P.J.Plested","D.Guetta, Timofey",What A DJ/Warner
31,32,Dance The Night,Dua Lipa,"M.D.Ronson, Andrew Wyatt, D.Lipa, C.Ailin","M.Ronson, Andrew Wyatt, The Picard Brothers",WaterTower/Atlantic
32,33,Area Codes,Kali,"K.A.Rose, K.Taylor, J.Goods, A.Cokley","YG Beats, Tate Kobang",Trump Card/Atlantic
33,34,Dancin' In The Country,Tyler Hubbard,"T.R.Hubbard, R.Copperman, J.M.Nite, K.Urban","J.M.Schmidt, T.Hubbard",Hubbard House/EMI Nashville
34,35,One Thing At A Time,Morgan Wallen,"M.C.Wallen, A.G.Gorley, E.K.Smith, Charlie Handsome",J.Moi,Big Loud/Mercury/Republic
35,36,Memory Lane,Old Dominion,"M.Ramsey, T. Rosen, B.F.Tursi, J.J.Dillon","S.McAnally, Old Dominion",Columbia Nashville
36,37,"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,"G.J.Conde, S.P.Exequiel Alvarado, H.E.Kabande Laija",Bizarrap,DALE PLAY
37,38,Tennessee Orange,Megan Moroney,"M.Moroney, D.Fanning, P.Jenkins, B.Williams",K.Bush,Megan Moroney/Columbia Nashville/Columbia
